@RELATION char_6

@ATTRIBUTE char    REAL
@ATTRIBUTE class    {+1, -1}

@DATA
4.80817775017e-06,-1
1.96675645945e-06,-1
1.69397557154e-06,-1
5.28578388512e-06,-1
4.52471710703e-06,-1
1.33322332652e-06,-1
4.50748342345e-06,-1
2.79583117334e-06,-1
2.48835828706e-06,-1
1.18549082626e-06,-1
2.82038083153e-06,-1
2.24158625575e-06,-1
1.87753083874e-06,-1
1.71528659056e-06,-1
1.08796018466e-06,-1
2.27965105425e-06,-1
5.43469399955e-06,-1
5.43469399955e-06,-1
5.43469399955e-06,-1
2.61896207245e-06,-1
2.27710189642e-06,-1
8.95948477229e-07,-1
5.43469399955e-06,-1
5.43469399955e-06,-1
1.82602156745e-06,-1
1.58728272434e-06,-1
1.19874127807e-06,-1
5.43469399955e-06,-1
1.26771401906e-06,-1
1.09545674784e-06,-1
9.06323491184e-07,-1
1.24369873461e-06,-1
1.28136817943e-06,-1
1.68019897845e-06,-1
9.59197585398e-07,-1
2.42554119378e-06,-1
1.46237442742e-06,-1
1.02969783027e-06,-1
3.68362180886e-06,-1
1.80792585146e-06,-1
1.01885145531e-06,-1
1.68209433525e-06,-1
5.89752595235e-06,-1
5.43469399955e-06,-1
5.43469399955e-06,-1
2.61894771262e-06,-1
5.43469399955e-06,-1
3.40926378191e-06,-1
4.05723991226e-06,-1
7.06311689935e-06,-1
1.71637009455e-06,-1
2.27977252353e-06,-1
3.11095804999e-06,-1
3.4091544399e-06,-1
1.4733253889e-06,-1
2.61890981396e-06,-1
1.33025433636e-06,-1
3.73949989609e-06,-1
1.81851788966e-06,-1
2.25613229385e-06,-1
1.01596135335e-06,-1
2.84329064102e-06,-1
5.43469399955e-06,-1
1.407177064e-06,-1
1.5528007593e-06,-1
5.474026061e-06,-1
5.43469399955e-06,-1
3.66199394847e-06,-1
1.17710105258e-06,-1
5.43469399955e-06,-1
4.44324533883e-06,-1
1.90548609306e-06,-1
5.43469399955e-06,-1
3.53837519647e-06,-1
5.43469399955e-06,-1
1.75389506444e-06,-1
3.40919009692e-06,-1
3.67958305704e-06,-1
2.45465589833e-06,-1
2.65965368085e-06,-1
2.13647257168e-06,-1
1.37296134376e-06,-1
2.58968199215e-06,-1
1.33025064328e-06,-1
1.58769696373e-06,-1
1.28404850763e-06,-1
1.06655168417e-06,-1
1.46325562045e-06,-1
5.43469399955e-06,-1
1.15788087508e-06,-1
4.71813231415e-06,-1
1.25149059243e-06,-1
5.43469399955e-06,-1
2.23190234011e-06,-1
3.28730952021e-06,-1
2.11664658933e-06,-1
5.43469399955e-06,-1
5.13629552202e-06,-1
3.28729389609e-06,-1
1.38423317679e-06,-1
1.26223962288e-06,-1
3.31332314195e-06,-1
1.03049094178e-06,-1
2.12886702852e-06,-1
1.60791243076e-06,-1
1.0170195753e-06,-1
9.86691276264e-07,-1
2.54653067267e-06,-1
1.04702263073e-06,-1
1.50427206142e-06,-1
1.16493515116e-06,-1
2.31941896783e-06,-1
2.18757866961e-06,-1
1.91744174268e-06,-1
2.30395083107e-06,-1
5.1542406515e-06,-1
5.1542406515e-06,-1
1.54871204979e-06,-1
1.24196518738e-06,-1
2.35274316207e-06,-1
1.0559232642e-06,-1
9.85065101093e-07,-1
9.81463696573e-07,-1
5.70159879617e-06,-1
1.28574964364e-06,-1
2.39947940061e-06,-1
1.18137408055e-06,-1
5.1542406515e-06,-1
5.1542406515e-06,-1
1.80937079406e-06,-1
2.03964625546e-06,-1
8.57234753132e-07,-1
1.96056175834e-06,-1
5.1542406515e-06,-1
1.67002770402e-06,-1
1.90072655721e-06,-1
1.86957143318e-06,-1
5.1542406515e-06,-1
9.05089275649e-07,-1
1.97801887788e-06,-1
1.97801717606e-06,-1
1.66209999871e-06,-1
2.48689869065e-06,-1
1.03652627531e-06,-1
1.97339786576e-06,-1
2.00163824818e-06,-1
8.41959563155e-07,-1
1.31784818295e-06,-1
9.00010597458e-07,-1
3.82516364699e-06,-1
5.1542406515e-06,-1
3.22582289344e-06,-1
2.12248839308e-06,-1
9.73243070529e-07,-1
1.36793275407e-06,-1
1.13452727027e-06,-1
1.71542657448e-06,-1
1.97310589382e-06,-1
1.29794538221e-06,-1
1.39300835584e-06,-1
5.1542406515e-06,-1
3.98489332139e-06,-1
1.75844799382e-06,-1
5.1542406515e-06,-1
1.16034874003e-06,-1
8.25769239298e-07,-1
1.56560720172e-06,-1
5.1542406515e-06,-1
1.85510081425e-06,-1
5.1542406515e-06,-1
5.1542406515e-06,-1
1.22605547706e-06,-1
5.1542406515e-06,-1
2.15005678002e-06,-1
9.38458036472e-07,-1
5.1542406515e-06,-1
5.1542406515e-06,-1
5.1542406515e-06,-1
3.22573944845e-06,-1
1.19250203811e-06,-1
1.5638110101e-06,-1
2.07863118901e-06,-1
5.1542406515e-06,-1
1.9780200249e-06,-1
1.79451988561e-06,-1
8.67102010616e-07,-1
4.90200884322e-06,-1
4.90200884322e-06,-1
1.38093206106e-06,-1
3.08832265404e-06,-1
4.5309028648e-06,-1
5.53413198578e-06,-1
8.75415794234e-07,-1
1.25826629672e-06,-1
4.90200884322e-06,-1
